iter	Passed	Remaining
0	61	24480
1	66	13279
2	70	9393
3	75	7475
4	80	6334
5	85	5632
6	89	5036
7	93	4568
8	97	4221
9	100	3920
10	104	3683
11	107	3471
12	111	3328
13	115	3175
14	118	3041
15	121	2915
16	124	2806
17	127	2715
18	130	2626
19	134	2548
20	137	2477
21	140	2414
22	144	2366
23	148	2321
24	151	2279
25	154	2228
26	157	2181
27	161	2150
28	164	2109
29	168	2074
30	171	2042
31	174	2009
32	178	1982
33	182	1960
34	186	1941
35	189	1912
36	192	1890
37	196	1876
38	200	1853
39	203	1831
40	206	1809
41	211	1799
42	214	1783
43	217	1762
44	221	1745
45	224	1728
46	227	1705
47	230	1687
48	233	1669
49	236	1652
50	238	1635
51	243	1628
52	246	1613
53	250	1601
54	253	1590
55	257	1580
56	260	1568
57	263	1554
58	267	1548
59	271	1536
60	275	1529
61	278	1519
62	281	1506
63	284	1494
64	287	1484
65	291	1475
66	294	1463
67	297	1453
68	300	1443
69	303	1433
70	307	1424
71	311	1417
72	314	1410
73	317	1400
74	321	1391
75	324	1384
76	327	1375
77	330	1366
78	334	1357
79	337	1351
80	341	1345
81	344	1336
82	347	1327
83	350	1318
84	353	1309
85	356	1302
86	361	1299
87	364	1292
88	367	1284
89	370	1277
90	374	1271
91	377	1263
92	380	1256
93	384	1252
94	388	1247
95	392	1242
96	395	1235
97	398	1229
98	402	1222
99	406	1218
100	409	1211
101	412	1204
102	415	1198
103	418	1192
104	422	1186
105	425	1180
106	428	1174
107	432	1168
108	435	1162
109	439	1157
110	442	1150
111	445	1144
112	449	1140
113	452	1134
114	455	1129
115	459	1123
116	462	1118
117	465	1112
118	468	1106
119	472	1102
120	475	1096
121	478	1091
122	482	1085
123	485	1080
124	489	1077
125	493	1072
126	496	1066
127	499	1060
128	502	1055
129	506	1051
130	508	1044
131	512	1040
132	515	1035
133	519	1030
134	522	1025
135	525	1020
136	529	1015
137	532	1010
138	536	1007
139	539	1002
140	542	996
141	545	991
142	549	987
143	553	983
144	556	978
145	559	972
146	562	967
147	565	962
148	568	958
149	572	954
150	575	948
151	578	943
152	581	938
153	585	934
154	589	931
155	591	925
156	595	921
157	598	916
158	601	911
159	605	907
160	608	904
161	612	899
162	615	894
163	619	890
164	622	886
165	625	882
166	630	878
167	633	874
168	636	870
169	640	866
170	643	861
171	646	856
172	650	852
173	653	848
174	656	844
175	659	839
176	662	835
177	666	830
178	669	827
179	673	822
180	676	818
181	679	814
182	683	810
183	686	805
184	690	801
185	693	797
186	696	792
187	699	788
188	702	784
189	705	780
190	709	776
191	712	772
192	716	768
193	719	764
194	722	760
195	726	755
196	730	752
197	734	748
198	737	744
199	740	740
200	743	735
201	746	731
202	750	727
203	753	723
204	756	719
205	759	714
206	762	710
207	765	706
208	769	703
209	772	699
210	775	694
211	778	690
212	781	686
213	785	682
214	788	678
215	791	674
216	795	670
217	798	666
218	802	663
219	805	659
220	809	655
221	812	651
222	815	647
223	818	643
224	822	639
225	825	635
226	828	631
227	832	627
228	835	623
229	836	618
230	839	614
231	842	610
232	846	606
233	849	602
234	852	598
235	855	594
236	858	590
237	861	586
238	866	583
239	869	579
240	872	575
241	874	571
242	878	567
243	881	563
244	883	558
245	886	554
246	889	550
247	892	546
248	895	543
249	898	539
250	902	535
251	905	531
252	908	527
253	912	524
254	915	520
255	918	516
256	922	513
257	925	509
258	928	505
259	931	501
260	934	497
261	937	493
262	940	490
263	944	486
264	945	481
265	948	477
266	951	474
267	954	470
268	958	466
269	961	462
270	964	459
271	968	455
272	971	451
273	974	447
274	978	444
275	981	440
276	984	437
277	987	433
278	990	429
279	993	425
280	997	422
281	1000	418
282	1003	414
283	1006	411
284	1009	407
285	1012	403
286	1016	400
287	1019	396
288	1022	392
289	1025	389
290	1028	385
291	1031	381
292	1035	378
293	1038	374
294	1041	370
295	1044	367
296	1046	363
297	1050	359
298	1053	355
299	1056	352
300	1060	348
301	1063	345
302	1066	341
303	1069	337
304	1072	334
305	1075	330
306	1078	326
307	1081	323
308	1084	319
309	1087	315
310	1091	312
311	1094	308
312	1097	305
313	1100	301
314	1103	297
315	1107	294
316	1111	290
317	1114	287
318	1117	283
319	1120	280
320	1123	276
321	1124	272
322	1128	269
323	1131	265
324	1134	261
325	1137	258
326	1141	254
327	1144	251
328	1147	247
329	1150	244
330	1153	240
331	1157	237
332	1161	233
333	1163	230
334	1167	226
335	1170	223
336	1174	219
337	1176	215
338	1179	212
339	1181	208
340	1185	205
341	1188	201
342	1191	198
343	1194	194
344	1197	190
345	1200	187
346	1203	183
347	1207	180
348	1210	176
349	1214	173
350	1217	169
351	1220	166
352	1224	163
353	1227	159
354	1230	155
355	1233	152
356	1237	149
357	1240	145
358	1243	142
359	1247	138
360	1250	135
361	1253	131
362	1257	128
363	1260	124
364	1263	121
365	1266	117
366	1269	114
367	1272	110
368	1275	107
369	1278	103
370	1282	100
371	1285	96
372	1287	93
373	1290	89
374	1293	86
375	1296	82
376	1299	79
377	1302	75
378	1306	72
379	1309	68
380	1312	65
381	1315	61
382	1319	58
383	1322	55
384	1325	51
385	1327	48
386	1329	44
387	1332	41
388	1335	37
389	1338	34
390	1341	30
391	1344	27
392	1347	23
393	1348	20
394	1351	17
395	1355	13
396	1358	10
397	1362	6
398	1365	3
399	1368	0
